sn,item_id,link,product_name,category,designer,price,old_price,sellable_online,other_colors,short_description,dimension,depth,height,width
3289,10294511,https://www.ikea.com/sa/en/p/besta-tv-bench-grey-stained-walnut-effect-10294511/,BESTÅ,TV & media furniture,NA,375,No old price,TRUE,Yes,TV bench,120x40x38 cm,40,38,120
3290,10302295,https://www.ikea.com/sa/en/p/brusali-tv-bench-brown-10302295/,BRUSALI,TV & media furniture,IKEA of Sweden,295,No old price,TRUE,No,TV bench,NA,36,62,120
3291,10306613,https://www.ikea.com/sa/en/p/brusali-tv-bench-brown-10306613/,BRUSALI,TV & media furniture,IKEA of Sweden,345,No old price,TRUE,No,TV bench,NA,36,85,120
3292,10334319,https://www.ikea.com/sa/en/p/billsbro-handle-white-10334319/,BILLSBRO,TV & media furniture,H Preutz/A Fredriksson,55,No old price,TRUE,Yes,Handle,NA,,,
3293,10357004,https://www.ikea.com/sa/en/p/kallroer-handle-stainless-steel-10357004/,KALLRÖR,TV & media furniture,IKEA of Sweden,35,No old price,TRUE,No,Handle,405 mm,38,,
3294,10364066,https://www.ikea.com/sa/en/p/lappviken-door-drawer-front-light-grey-10364066/,LAPPVIKEN,TV & media furniture,IKEA of Sweden,31.5,SR 45,TRUE,Yes,Door/drawer front,60x38 cm,,38,60
3295,10364523,https://www.ikea.com/sa/en/p/kallviken-door-dark-grey-concrete-effect-10364523/,KALLVIKEN,TV & media furniture,IKEA of Sweden,170,No old price,TRUE,No,Door,60x64 cm,,64,60
3296,10441569,https://www.ikea.com/sa/en/p/stockviken-door-anthracite-10441569/,STOCKVIKEN,TV & media furniture,NA,210,No old price,TRUE,No,Door,60x64 cm,,64,60
3297,19057906,https://www.ikea.com/sa/en/p/besta-wall-cabinet-with-2-doors-lappviken-black-brown-s19057906/,BESTÅ,TV & media furniture,IKEA of Sweden,480,No old price,TRUE,Yes,Wall cabinet with 2 doors,60x22x128 cm,22,128,60
3298,19184339,https://www.ikea.com/sa/en/p/brimnes-tv-storage-combination-black-s19184339/,BRIMNES,TV & media furniture,K Hagberg/M Hagberg,1265,No old price,TRUE,Yes,TV storage combination,258x41x190 cm,41,190,258
3299,19189916,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-black-brown-selsviken-high-gloss-black-smoked-glass-s19189916/,BESTÅ,TV & media furniture,IKEA of Sweden,1645,No old price,TRUE,Yes,TV storage combination/glass doors,240x40x128 cm,40,128,240
3300,19194649,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-black-brown-selsviken-high-gloss-black-smoked-glass-s19194649/,BESTÅ,TV & media furniture,IKEA of Sweden,4260,No old price,TRUE,Yes,TV storage combination/glass doors,300x40x230 cm,40,230,300
3301,19278210,https://www.ikea.com/sa/en/p/brimnes-tv-storage-combination-black-s19278210/,BRIMNES,TV & media furniture,K Hagberg/M Hagberg,990,No old price,TRUE,Yes,TV storage combination,258x41x95 cm,41,95,258
3302,19282919,https://www.ikea.com/sa/en/p/besta-storage-combination-w-glass-doors-black-brown-vassviken-white-clear-glass-s19282919/,BESTÅ,TV & media furniture,IKEA of Sweden/Marcus Arvonen,1570,No old price,TRUE,Yes,Storage combination w glass doors,120x40x128 cm,40,128,120
3303,19299571,https://www.ikea.com/sa/en/p/hemnes-tv-storage-combination-white-stain-light-brown-clear-glass-s19299571/,HEMNES,TV & media furniture,Carina Bengs,3386,"SR 3,585",TRUE,Yes,TV storage combination,NA,,197,326
3304,19301927,https://www.ikea.com/sa/en/p/besta-storage-combination-w-glass-doors-black-brown-sindvik-stallarp-black-brown-clear-glass-s19301927/,BESTÅ,TV & media furniture,Marcus Arvonen/Carl Öjerstam/IKEA of Sweden,1020,No old price,TRUE,Yes,Storage combination w glass doors,60x22x202 cm,22,202,60
3305,20245964,https://www.ikea.com/sa/en/p/besta-frame-black-brown-20245964/,BESTÅ,TV & media furniture,IKEA of Sweden,135,No old price,TRUE,Yes,Frame,60x40x64 cm,40,64,60
3306,20273141,https://www.ikea.com/sa/en/p/hishult-knob-porcelain-white-20273141/,HISHULT,TV & media furniture,K Hagberg/M Hagberg,17,No old price,TRUE,Yes,Knob,23 mm,24,,
3307,20293592,https://www.ikea.com/sa/en/p/nannarp-leg-white-20293592/,NANNARP,TV & media furniture,Carl Öjerstam,40,No old price,TRUE,Yes,Leg,NA,100,100,100
3308,20330599,https://www.ikea.com/sa/en/p/uppleva-bracket-for-tv-swivel-light-grey-20330599/,UPPLEVA,TV & media furniture,NA,199,No old price,TRUE,No,"Bracket for TV, swivel","37-55 """,,,
3309,20334309,https://www.ikea.com/sa/en/p/billsbro-handle-white-20334309/,BILLSBRO,TV & media furniture,H Preutz/A Fredriksson,75,No old price,TRUE,Yes,Handle,NA,,,
